country,indicator,value,year
Afghanistan,totalDemand,228,2016
Afghanistan,totalDemand,664,2017
Afghanistan,totalDemand,441,2018
Afghanistan,totalDemand,249,2019
Afghanistan,totalDemand,611,2020
Afghanistan,totalDemand,206,2021
Afghanistan,totalDemand,31,2022
Afghanistan,totalDemand,111,2023
Albania,totalDemand,1377,2016
Albania,totalDemand,10122,2017
Albania,totalDemand,9300,2018
Albania,totalDemand,15367,2019
Albania,totalDemand,17111,2020
Albania,totalDemand,32241,2021
Albania,totalDemand,27849,2022
Albania,totalDemand,26379,2023
Albania,totalDemand,4037,2024
Algeria,totalDemand,340,2016
Algeria,totalDemand,5264,2017
Algeria,totalDemand,6729,2018
Algeria,totalDemand,10364,2019
Algeria,totalDemand,13885,2020
Algeria,totalDemand,26053,2021
Algeria,totalDemand,31878,2022
Algeria,totalDemand,25643,2023
Algeria,totalDemand,4190,2024
Angola,totalDemand,247,2016
Angola,totalDemand,844,2017
Angola,totalDemand,1833,2018
Angola,totalDemand,2431,2019
Angola,totalDemand,2202,2020
Angola,totalDemand,4289,2021
Angola,totalDemand,4791,2022
Angola,totalDemand,2891,2023
Angola,totalDemand,528,2024
Antigua and Barbuda,totalDemand,187,2016
Antigua and Barbuda,totalDemand,1002,2017
Antigua and Barbuda,totalDemand,1180,2018
Antigua and Barbuda,totalDemand,2274,2019
Antigua and Barbuda,totalDemand,1692,2020
Antigua and Barbuda,totalDemand,2426,2021
Antigua and Barbuda,totalDemand,3347,2022
Antigua and Barbuda,totalDemand,1703,2023
Antigua and Barbuda,totalDemand,336,2024
Argentina,totalDemand,4313,2016
Argentina,totalDemand,20775,2017
Argentina,totalDemand,26216,2018
Argentina,totalDemand,31415,2019
Argentina,totalDemand,30408,2020
Argentina,totalDemand,58566,2021
Argentina,totalDemand,63520,2022
Argentina,totalDemand,60796,2023
Argentina,totalDemand,12374,2024
Armenia,totalDemand,3034,2016
Armenia,totalDemand,13410,2017
Armenia,totalDemand,17297,2018
Armenia,totalDemand,22166,2019
Armenia,totalDemand,21741,2020
Armenia,totalDemand,27463,2021
Armenia,totalDemand,35664,2022
Armenia,totalDemand,35839,2023
Armenia,totalDemand,5735,2024
Aruba,totalDemand,278,2016
Aruba,totalDemand,2103,2017
Aruba,totalDemand,2226,2018
Aruba,totalDemand,2639,2019
Aruba,totalDemand,1956,2020
Aruba,totalDemand,3156,2021
Aruba,totalDemand,3428,2022
Aruba,totalDemand,3453,2023
Aruba,totalDemand,660,2024
Australia,totalDemand,162960,2016
Australia,totalDemand,1012100,2017
Australia,totalDemand,1364008,2018
Australia,totalDemand,1607790,2019
Australia,totalDemand,1515489,2020
Australia,totalDemand,1950638,2021
Australia,totalDemand,1714502,2022
Australia,totalDemand,1741317,2023
Australia,totalDemand,279503,2024
Austria,totalDemand,5550,2016
Austria,totalDemand,42799,2017
Austria,totalDemand,64982,2018
Austria,totalDemand,73522,2019
Austria,totalDemand,74441,2020
Austria,totalDemand,118134,2021
Austria,totalDemand,121208,2022
Austria,totalDemand,115075,2023
Austria,totalDemand,18161,2024
Azerbaijan,totalDemand,74,2016
Azerbaijan,totalDemand,4585,2017
Azerbaijan,totalDemand,8569,2018
Azerbaijan,totalDemand,10460,2019
Azerbaijan,totalDemand,10784,2020
Azerbaijan,totalDemand,16548,2021
Azerbaijan,totalDemand,15508,2022
Azerbaijan,totalDemand,17563,2023
Azerbaijan,totalDemand,2957,2024
Bahamas,totalDemand,1151,2016
Bahamas,totalDemand,5055,2017
Bahamas,totalDemand,6501,2018
Bahamas,totalDemand,9552,2019
Bahamas,totalDemand,8602,2020
Bahamas,totalDemand,10489,2021
Bahamas,totalDemand,9343,2022
Bahamas,totalDemand,8259,2023
Bahamas,totalDemand,1468,2024
Bahrain,totalDemand,1866,2016
Bahrain,totalDemand,11830,2017
Bahrain,totalDemand,16397,2018
Bahrain,totalDemand,21802,2019
Bahrain,totalDemand,26196,2020
Bahrain,totalDemand,40003,2021
Bahrain,totalDemand,38241,2022
Bahrain,totalDemand,33565,2023
Bahrain,totalDemand,6471,2024
Bangladesh,totalDemand,15397,2016
Bangladesh,totalDemand,42860,2017
Bangladesh,totalDemand,48260,2018
Bangladesh,totalDemand,61114,2019
Bangladesh,totalDemand,69213,2020
Bangladesh,totalDemand,112323,2021
Bangladesh,totalDemand,172198,2022
Bangladesh,totalDemand,216925,2023
Bangladesh,totalDemand,44538,2024
Belarus,totalDemand,1802,2016
Belarus,totalDemand,11492,2017
Belarus,totalDemand,18890,2018
Belarus,totalDemand,28511,2019
Belarus,totalDemand,27200,2020
Belarus,totalDemand,34929,2021
Belarus,totalDemand,7754,2022
Belarus,totalDemand,1275,2023
Belarus,totalDemand,188,2024
Belgium,totalDemand,10866,2016
Belgium,totalDemand,68098,2017
Belgium,totalDemand,92782,2018
Belgium,totalDemand,113153,2019
Belgium,totalDemand,114110,2020
Belgium,totalDemand,168428,2021
Belgium,totalDemand,151243,2022
Belgium,totalDemand,147350,2023
Belgium,totalDemand,25020,2024
Benin,totalDemand,4,2016
Benin,totalDemand,699,2017
Benin,totalDemand,1075,2018
Benin,totalDemand,1735,2019
Benin,totalDemand,1921,2020
Benin,totalDemand,4050,2021
Benin,totalDemand,5236,2022
Benin,totalDemand,5146,2023
Benin,totalDemand,648,2024
Bolivia,totalDemand,574,2016
Bolivia,totalDemand,3436,2017
Bolivia,totalDemand,4447,2018
Bolivia,totalDemand,5414,2019
Bolivia,totalDemand,5366,2020
Bolivia,totalDemand,7363,2021
Bolivia,totalDemand,5354,2022
Bolivia,totalDemand,5800,2023
Bolivia,totalDemand,999,2024
Bosnia And Herzegovina,totalDemand,78,2016
Bosnia And Herzegovina,totalDemand,605,2017
Bosnia and Herzegovina,totalDemand,216,2016
Bosnia and Herzegovina,totalDemand,6691,2017
Bosnia and Herzegovina,totalDemand,10078,2018
Bosnia and Herzegovina,totalDemand,10165,2019
Bosnia and Herzegovina,totalDemand,11391,2020
Bosnia and Herzegovina,totalDemand,16105,2021
Bosnia and Herzegovina,totalDemand,15461,2022
Bosnia and Herzegovina,totalDemand,15946,2023
Bosnia and Herzegovina,totalDemand,3129,2024
Botswana,totalDemand,468,2016
Botswana,totalDemand,1702,2017
Botswana,totalDemand,1627,2018
Botswana,totalDemand,2998,2019
Botswana,totalDemand,2901,2020
Botswana,totalDemand,2752,2021
Botswana,totalDemand,2959,2022
Botswana,totalDemand,3353,2023
Botswana,totalDemand,617,2024
Brazil,totalDemand,16302,2016
Brazil,totalDemand,58782,2017
Brazil,totalDemand,66962,2018
Brazil,totalDemand,93395,2019
Brazil,totalDemand,77561,2020
Brazil,totalDemand,89229,2021
Brazil,totalDemand,105112,2022
Brazil,totalDemand,101972,2023
Brazil,totalDemand,17675,2024
Bulgaria,totalDemand,3091,2016
Bulgaria,totalDemand,30870,2017
Bulgaria,totalDemand,44463,2018
Bulgaria,totalDemand,61146,2019
Bulgaria,totalDemand,60440,2020
Bulgaria,totalDemand,84494,2021
Bulgaria,totalDemand,94336,2022
Bulgaria,totalDemand,88026,2023
Bulgaria,totalDemand,13723,2024
Burkina Faso,totalDemand,173,2016
Burkina Faso,totalDemand,671,2017
Burkina Faso,totalDemand,860,2018
Burkina Faso,totalDemand,1384,2019
Burkina Faso,totalDemand,803,2020
Burkina Faso,totalDemand,1241,2021
Burkina Faso,totalDemand,1092,2022
Burkina Faso,totalDemand,1437,2023
Burkina Faso,totalDemand,135,2024
Burundi,totalDemand,9,2016
Burundi,totalDemand,194,2017
Burundi,totalDemand,751,2018
Burundi,totalDemand,366,2019
Burundi,totalDemand,322,2020
Burundi,totalDemand,370,2021
Burundi,totalDemand,494,2022
Burundi,totalDemand,219,2023
Burundi,totalDemand,52,2024
Cambodia,totalDemand,1081,2016
Cambodia,totalDemand,4771,2017
Cambodia,totalDemand,7572,2018
Cambodia,totalDemand,7978,2019
Cambodia,totalDemand,7980,2020
Cambodia,totalDemand,8729,2021
Cambodia,totalDemand,8925,2022
Cambodia,totalDemand,9128,2023
Cambodia,totalDemand,1483,2024
Cameroon,totalDemand,8054,2016
Cameroon,totalDemand,3823,2017
Cameroon,totalDemand,4547,2018
Cameroon,totalDemand,4754,2019
Cameroon,totalDemand,5742,2020
Cameroon,totalDemand,7778,2021
Cameroon,totalDemand,8872,2022
Cameroon,totalDemand,7154,2023
Cameroon,totalDemand,1342,2024
Canada,totalDemand,143938,2016
Canada,totalDemand,936796,2017
Canada,totalDemand,1320321,2018
Canada,totalDemand,1612741,2019
Canada,totalDemand,1619263,2020
Canada,totalDemand,2098117,2021
Canada,totalDemand,1896472,2022
Canada,totalDemand,1802052,2023
Canada,totalDemand,295961,2024
Cape Verde,totalDemand,31,2016
Cape Verde,totalDemand,197,2017
Cape Verde,totalDemand,614,2018
